Date,Temp,Day
1/14/2015,-0.102,14
1/14/2015,0.893,14
1/14/2015,1.221,14
1/14/2015,2.517,14
1/14/2015,1.872,14
1/14/2015,1.656,14
1/14/2015,1.98,14
1/14/2015,1.656,14
1/14/2015,1.548,14
1/14/2015,1.221,14
1/14/2015,1.221,14
1/14/2015,1.33,14
1/14/2015,1.439,14
1/14/2015,1.548,14
1/14/2015,1.439,14
1/14/2015,1.548,14
1/15/2015,1.656,15
1/15/2015,1.872,15
1/15/2015,2.088,15
1/15/2015,2.303,15
1/15/2015,2.303,15
1/15/2015,2.195,15
1/15/2015,2.195,15
1/15/2015,2.303,15
1/15/2015,2.303,15
1/15/2015,2.303,15
1/15/2015,2.303,15
1/15/2015,2.624,15
1/15/2015,1.98,15
1/15/2015,1.439,15
1/15/2015,0.893,15
1/15/2015,0.01,15
1/15/2015,-0.437,15
1/15/2015,-0.213,15
1/15/2015,-0.437,15
1/15/2015,-0.549,15
1/15/2015,-0.662,15
1/15/2015,-1.341,15
1/15/2015,-2.844,15
1/15/2015,-2.61,15
1/16/2015,-3.434,16
1/16/2015,-2.844,16
1/16/2015,-0.887,16
1/16/2015,-0.549,16
1/16/2015,-0.213,16
1/16/2015,-0.213,16
1/16/2015,0.453,16
1/16/2015,1.221,16
1/16/2015,1.439,16
1/16/2015,3.788,16
1/16/2015,5.347,16
1/16/2015,5.347,16
1/16/2015,6.166,16
1/16/2015,7.381,16
1/16/2015,7.882,16
1/16/2015,8.182,16
1/16/2015,2.41,16
1/16/2015,1.112,16
1/16/2015,-0.325,16
1/16/2015,-2.03,16
1/16/2015,-2.844,16
1/16/2015,-3.672,16
1/16/2015,-4.758,16
1/16/2015,-6.12,16
1/17/2015,-6.626,17
1/17/2015,-7.267,17
1/17/2015,-7.787,17
1/17/2015,-8.314,17
1/17/2015,-8.847,17
1/17/2015,-9.525,17
1/17/2015,-9.525,17
1/17/2015,-9.662,17
1/17/2015,-8.847,17
1/17/2015,-7.267,17
1/17/2015,-5.003,17
1/17/2015,-4.514,17
